"","indicatorName","year1960","year1961","year1962","year1963","year1964","year1965","year1966","year1967","year1968","year1969","year1970","year1971"
"1","Exportaciones de productos de alta tecnología (% de las exportaciones de productos manufacturados)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Exportaciones de mercaderías (US$ a precios actuales)",146,126,144,120,144,164,155,190,226,193,190,199
"3","Computadoras, comunicaciones y otros servicios (% de importaciones de servicios comerciales)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Importaciones de productos manufacturados (% de importaciones de mercaderías)",NA,NA,79.6037158532215,71.6583866310479,79.7367090840714,76.2812048399979,78.9781921090103,74.4209130666079,82.1712042183089,79.9249307856314,83.3023911490934,79.7407553372772
"5","Tasa arancelaria, aplicada, promedio ponderado, todos los productos (%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Comercio de mercaderías (% del PIB)",1.25636316144483e-05,1.32850554289179e-05,1.58739754290533e-05,1.35939237944242e-05,1.31453072086942e-05,1.37827125718386e-05,1.3542942886854e-05,1.58208262181218e-05,1.86276654633597e-05,1.39773997090664e-05,1.62095833732942e-05,1.95699671241236e-05
"7","Crecimiento de la población rural (% anual)",NA,1.9385414888396,1.93735169353926,2.02084708143482,2.08065571583019,2.09032681733287,2.09389774022226,2.09344646444785,2.07969603071557,2.06452075807415,2.03331461378966,2.00627795914295
"8","Tasa de inactividad por edades, personas menores de 15 años (% de la población en edad de trabajar)",83.627472890492,84.5097192367719,85.7073044725987,86.9373111737635,87.7591346083326,87.9952574894335,88.3666126154337,88.181472946711,87.6048956677259,86.888014847806,86.1572479243238,85.8013995965938
"9","Población de 65 a 69 años, varones (% de la población masculina)",1.76015708062489,1.72820157019017,1.69494554008832,1.6640020407496,1.63943679417493,1.62257554658311,1.59533060991654,1.57517928862663,1.56062884674297,1.54914892790094,1.53972624317823,1.5184320245091
"10","Población de 25 a 29 años, varones (% de la población masculina)",6.96230813424934,6.94274888506574,6.9098077707028,6.87671264945888,6.86262558399423,6.87415772329443,6.8878158933796,6.93212297745537,6.98481493859136,7.01378714832971,7.00554273881525,6.95122499280466
"11","Población entre 0 y 14 años de edad (% del total)",43.4018917763762,43.6627064643749,44.0171038806654,44.3815965533142,44.6327083579545,44.7236515339407,44.8425590739157,44.8119356576928,44.6757718464144,44.5015212793368,44.3231066916929,44.237859544535
"12","Esperanza de vida al nacer, varones (años)",51.692,52.253,52.803,53.339,53.86,54.366,54.858,55.336,55.806,56.27,56.729,57.183
"13","Prevalence of moderate or severe food insecurity in the population (%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Proporción de jóvenes sin educación, empleo ni capacitación, total (% de la población total de jóvenes)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Desempleo, mujeres jóvenes (% de la población activa femenina entre 15 y 24 años de edad) (estimación modelado OIT)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Tasa de población activa, mujeres (% de la población femenina mayor de 15 años) (estimación modelado OIT)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Tasa de participación en la fuerza laboral, de 15 a 24 años, mujeres (%) (estimación nacional)",NA,NA,20.6299991607666,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Empleos en servicios (% del total de empleos)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Empleados en la industria, varones (% del empleo masculino)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Relación entre empleo y población, mayores de 15 años, total (%) (estimación nacional)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Relación entre empleo y población, edades entre 15 y 24 años, mujeres (%) (estimación modelado OIT)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Tasa de incidencia de la pobreza, sobre la base de la línea de pobreza nacional (% de la población)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Proportion of people living below 50 percent of median income (%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Domestic general government health expenditure (% of current health expenditure)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
